  cell  ,E,W,N,S
"(33, 28)",0,0,1,1
"(34, 28)",0,1,1,0
"(35, 28)",1,0,0,1
"(36, 28)",0,1,1,1
"(37, 28)",0,0,1,1
"(38, 28)",0,1,1,0
"(39, 28)",1,1,0,0
"(40, 28)",1,0,0,1
"(41, 28)",0,0,1,0
"(42, 28)",1,0,0,1
"(43, 28)",1,0,1,0
"(44, 28)",0,1,0,1
"(45, 28)",1,0,1,0
"(46, 28)",1,1,0,1
"(47, 28)",1,0,1,0
"(48, 28)",1,1,0,0
"(49, 28)",0,1,0,0
"(50, 28)",1,1,0,0
"(51, 28)",0,1,0,1
"(52, 28)",0,1,1,0
"(53, 28)",1,1,0,0
"(54, 28)",0,1,0,1
"(55, 28)",1,0,1,0
"(56, 28)",0,1,0,1
"(57, 28)",0,0,1,1
"(58, 28)",0,1,1,0
"(59, 28)",1,0,0,1
"(60, 28)",0,1,1,0
"(61, 28)",0,1,0,1
"(62, 28)",1,0,1,0
"(63, 28)",1,0,0,1
"(64, 28)",0,0,1,1
"(65, 28)",0,0,1,1
"(66, 28)",1,1,1,0
"(67, 28)",0,1,0,1
"(68, 28)",0,0,1,1
"(69, 28)",0,1,1,0
"(70, 28)",0,1,0,1
"(71, 28)",1,0,1,0
"(72, 28)",0,1,0,1
"(73, 28)",0,0,1,1
"(74, 28)",1,0,1,0
"(75, 28)",1,1,0,0
"(76, 28)",1,1,0,0
"(77, 28)",0,1,0,0
"(78, 28)",1,1,0,1
"(79, 28)",0,0,1,0
"(80, 28)",0,1,0,1
"(81, 28)",0,1,1,0
"(82, 28)",0,0,0,1
"(83, 28)",1,0,1,1
"(84, 28)",1,0,1,0
"(85, 28)",1,1,0,1
"(86, 28)",1,0,1,0
"(87, 28)",0,1,0,1
"(88, 28)",1,0,1,0
"(89, 28)",1,1,0,0
"(90, 28)",0,1,0,1
"(91, 28)",0,1,1,0
"(92, 28)",1,1,0,1
"(93, 28)",1,0,1,1
"(94, 28)",0,0,1,1
"(95, 28)",0,1,1,0
"(96, 28)",1,0,0,1
"(97, 28)",0,1,1,0
"(98, 28)",0,1,0,0
"(99, 28)",1,1,0,0
"(100, 28)",0,1,0,1
"(101, 28)",1,0,1,0
"(102, 28)",0,1,0,1
"(103, 28)",1,0,1,0
"(104, 28)",1,0,0,1
"(105, 28)",0,1,1,1
"(106, 28)",1,0,1,0
"(107, 28)",1,0,0,1
"(108, 28)",1,1,1,0
"(109, 28)",1,0,0,1
"(110, 28)",0,1,1,0
"(111, 28)",0,1,0,0
"(112, 28)",1,1,0,1
"(113, 28)",0,0,1,1
"(114, 28)",0,0,1,1
"(115, 28)",1,0,1,0
"(116, 28)",1,1,0,0
"(117, 28)",1,1,0,0
"(118, 28)",1,0,0,1
"(119, 28)",0,0,1,1
"(120, 28)",1,1,1,0
"(121, 28)",1,1,0,0
"(122, 28)",0,1,0,1
"(123, 28)",0,0,1,1
"(124, 28)",0,1,1,1
"(125, 28)",1,0,1,0
"(126, 28)",1,1,0,0
"(127, 28)",0,0,0,1
"(128, 28)",0,0,1,1
"(129, 28)",0,0,1,1
"(130, 28)",0,0,1,1
"(131, 28)",1,0,1,1
"(132, 28)",0,1,1,0
"(133, 28)",0,1,0,1
"(134, 28)",1,1,1,0
"(135, 28)",0,1,0,1
"(136, 28)",1,0,1,0
"(137, 28)",1,0,0,1
"(138, 28)",0,0,1,1
"(139, 28)",0,0,1,1
"(140, 28)",1,0,1,0
"(141, 28)",1,1,0,0
"(142, 28)",1,0,0,1
"(143, 28)",0,1,1,0
"(144, 28)",1,1,0,0
"(145, 28)",1,1,0,0
"(146, 28)",0,1,0,0
"(147, 28)",1,1,0,0
"(148, 28)",0,1,0,1
"(149, 28)",1,0,1,0
"(150, 28)",0,1,0,1
"(151, 28)",0,1,1,1
"(152, 28)",1,0,1,0
"(153, 28)",1,1,0,0
"(154, 28)",1,0,0,1
"(155, 28)",0,1,1,0
"(156, 28)",1,1,0,0
"(157, 28)",1,1,0,0
"(158, 28)",1,1,0,0
"(159, 28)",1,0,0,1
"(160, 28)",0,1,1,0
"(161, 28)",0,0,0,1
"(162, 28)",1,0,1,1
"(163, 28)",0,1,1,0
"(164, 28)",1,1,0,0
"(165, 28)",0,1,0,0
"(166, 28)",1,1,0,0
"(167, 28)",1,0,0,1
"(168, 28)",1,1,1,0
"(169, 28)",1,1,0,0
"(170, 28)",0,0,0,1
"(171, 28)",1,0,1,1
"(172, 28)",1,0,1,0
"(173, 28)",0,1,0,1
"(174, 28)",1,0,1,1
"(175, 28)",0,0,1,0
"(176, 28)",1,1,0,0
"(177, 28)",0,1,0,1
"(178, 28)",0,0,1,1
"(179, 28)",1,0,1,0
"(180, 28)",1,0,0,1
"(181, 28)",0,0,1,1
"(182, 28)",0,0,1,1
"(183, 28)",0,1,1,0
"(184, 28)",1,0,0,1
"(185, 28)",0,1,1,0
"(186, 28)",1,0,0,1
"(187, 28)",0,1,1,0
"(188, 28)",1,0,0,0
"(189, 28)",1,0,0,1
"(190, 28)",0,0,1,1
"(191, 28)",0,0,1,1
"(192, 28)",0,1,1,0
"(193, 28)",0,1,0,1
"(194, 28)",0,1,1,1
"(195, 28)",0,0,1,1
"(196, 28)",0,0,1,1
"(197, 28)",0,0,1,1
"(198, 28)",0,1,1,0
"(199, 28)",1,1,0,1
"(200, 28)",0,1,1,0
"(201, 28)",1,0,0,1
"(202, 28)",1,0,1,0
"(203, 28)",0,1,0,1
"(204, 28)",1,0,1,0
"(205, 28)",1,1,0,0
"(206, 28)",0,1,0,0
"(207, 28)",1,0,0,1
"(208, 28)",0,1,1,0
"(209, 28)",0,1,0,1
"(210, 28)",0,0,1,1
"(211, 28)",1,0,1,0
"(212, 28)",0,1,0,0
"(213, 28)",1,1,0,0
"(214, 28)",0,1,0,1
"(215, 28)",0,0,1,1
"(216, 28)",0,0,1,1
"(217, 28)",1,0,1,0
"(218, 28)",1,1,0,0
"(219, 28)",0,1,0,1
"(220, 28)",0,0,1,1
"(221, 28)",1,0,1,0
"(222, 28)",1,0,0,1
"(223, 28)",0,1,1,0
"(224, 28)",1,0,0,1
"(225, 28)",1,0,1,0
"(226, 28)",0,1,0,1
"(227, 28)",1,0,1,0
"(228, 28)",1,1,0,0
"(229, 28)",0,0,0,1
"(230, 28)",0,1,1,1
"(231, 28)",0,1,1,0
"(232, 28)",1,1,0,0
"(233, 28)",1,1,0,1
"(234, 28)",0,0,1,1
"(235, 28)",1,0,1,1
"(236, 28)",0,0,1,0
"(237, 28)",1,1,0,0
"(238, 28)",1,1,0,0
"(239, 28)",1,1,0,0
"(240, 28)",1,0,0,1
"(241, 28)",0,1,1,0
"(242, 28)",1,0,0,1
"(243, 28)",0,0,1,0
"(244, 28)",0,1,0,1
"(245, 28)",0,0,1,1
"(246, 28)",1,0,1,0
"(247, 28)",0,1,0,0
"(248, 28)",1,0,0,1
"(249, 28)",0,1,1,0
"(250, 28)",1,0,0,1
"(251, 28)",0,1,1,0
"(252, 28)",1,0,0,1
"(253, 28)",1,0,1,0
"(254, 28)",1,1,0,0
"(255, 28)",1,1,0,0
"(256, 28)",1,0,0,1
"(257, 28)",1,0,1,0
"(258, 28)",0,1,0,1
"(259, 28)",0,0,1,1
"(260, 28)",1,0,1,0
"(261, 28)",1,1,0,0
"(262, 28)",0,0,0,1
"(263, 28)",0,1,1,0
"(264, 28)",1,1,0,0
"(265, 28)",1,0,0,1
"(266, 28)",0,0,1,1
"(267, 28)",0,1,1,0
"(268, 28)",1,1,0,1
"(269, 28)",0,1,1,0
"(270, 28)",1,1,0,0
"(271, 28)",0,1,0,1
"(272, 28)",1,0,1,0
"(273, 28)",1,1,0,0
"(274, 28)",1,0,0,1
"(275, 28)",0,1,1,0
"(276, 28)",1,1,0,0
"(277, 28)",0,0,0,1
"(278, 28)",1,1,1,0
"(279, 28)",0,1,0,1
"(280, 28)",0,1,1,0
"(281, 28)",1,1,0,0
"(282, 28)",1,0,0,1
"(283, 28)",0,1,1,0
"(284, 28)",1,1,0,0
"(285, 28)",0,1,0,1
"(286, 28)",1,1,1,0
"(287, 28)",1,1,0,0
"(288, 28)",1,1,0,0
"(289, 28)",1,1,0,0
"(290, 28)",0,1,0,1
"(291, 28)",1,0,1,0
"(292, 28)",1,0,0,1
"(293, 28)",0,1,1,0
"(294, 28)",0,1,0,1
"(295, 28)",0,0,1,1
"(296, 28)",0,1,1,0
"(297, 28)",1,1,0,0
"(298, 28)",1,0,0,1
"(299, 28)",0,0,1,1
"(300, 28)",0,0,1,1
"(301, 28)",0,0,1,0
"(302, 28)",1,0,0,1
"(303, 28)",0,0,1,1
"(304, 28)",1,0,1,0
"(305, 28)",0,1,0,1
"(306, 28)",1,0,1,0
"(307, 28)",1,0,0,0
"(308, 28)",1,1,0,0
"(309, 28)",1,1,0,0
"(310, 28)",1,1,0,0
"(311, 28)",0,1,0,1
"(312, 28)",1,0,1,0
"(313, 28)",0,1,0,0
"(314, 28)",1,0,0,1
"(315, 28)",1,0,1,1
"(316, 28)",1,0,1,0
"(317, 28)",1,1,0,0
"(318, 28)",1,0,0,1
"(319, 28)",0,1,1,0
"(320, 28)",1,1,0,0
"(321, 28)",0,1,0,1
"(322, 28)",0,0,1,1
"(323, 28)",1,0,1,0
"(324, 28)",0,1,0,0
"(325, 28)",1,1,0,0
"(326, 28)",1,1,0,0
"(327, 28)",1,0,0,1
"(328, 28)",0,1,1,0
"(329, 28)",1,0,0,1
"(330, 28)",0,1,1,0
"(331, 28)",1,0,0,0
"(332, 28)",1,1,0,0
"(333, 28)",0,1,0,1
"(334, 28)",0,0,1,1
"(335, 28)",0,1,1,0
"(336, 28)",1,0,0,1
"(337, 28)",1,0,1,0
"(338, 28)",1,0,0,1
"(339, 28)",0,0,1,1
"(340, 28)",0,1,1,0
"(341, 28)",1,1,0,0
"(342, 28)",1,0,0,1
"(343, 28)",0,1,1,0
"(344, 28)",1,0,0,1
"(345, 28)",0,1,1,0
"(346, 28)",0,1,0,1
"(347, 28)",1,0,1,0
"(348, 28)",1,0,0,0
"(349, 28)",1,1,0,1
"(350, 28)",1,0,1,0
"(351, 28)",1,1,0,0
"(352, 28)",1,0,0,1
"(353, 28)",0,1,1,0
"(354, 28)",1,1,0,0
"(355, 28)",1,1,0,0
"(356, 28)",1,1,0,1
"(357, 28)",0,0,1,1
"(358, 28)",1,0,1,0
"(359, 28)",1,0,0,1
"(360, 28)",0,1,1,0
"(361, 28)",1,1,0,0
"(362, 28)",0,1,0,1
"(363, 28)",0,1,1,0
"(364, 28)",1,0,0,1
"(365, 28)",0,1,1,0
"(366, 28)",0,1,0,1
"(367, 28)",0,0,1,1
"(368, 28)",0,1,1,0
"(369, 28)",0,1,0,1
"(370, 28)",0,1,1,0
"(371, 28)",1,0,0,1
"(372, 28)",0,1,1,0
"(373, 28)",1,0,0,1
"(374, 28)",1,0,1,1
"(375, 28)",0,0,1,1
"(376, 28)",0,0,1,0
"(377, 28)",1,0,0,1
"(378, 28)",0,0,1,1
"(379, 28)",0,0,1,1
"(380, 28)",0,0,1,1
"(381, 28)",0,1,1,0
"(382, 28)",1,1,0,0
"(383, 28)",0,1,0,1
"(384, 28)",0,0,1,1
"(385, 28)",0,0,1,1
"(386, 28)",0,1,1,0
"(387, 28)",1,0,0,1
"(388, 28)",0,0,1,1
"(389, 28)",1,0,1,0
"(390, 28)",1,0,0,1
"(391, 28)",0,1,1,0
"(392, 28)",0,0,0,1
"(393, 28)",1,0,1,1
"(394, 28)",0,0,1,1
"(395, 28)",0,0,1,1
"(396, 28)",0,1,1,1
"(397, 28)",1,0,1,0
"(398, 28)",1,0,0,1
"(399, 28)",0,1,1,0
"(400, 28)",1,1,0,0
"(1, 29)",0,0,0,1
"(2, 29)",1,0,1,0
"(3, 29)",1,1,0,0
"(4, 29)",0,1,0,1
"(5, 29)",1,0,1,0
"(6, 29)",1,0,0,1
"(7, 29)",0,1,1,0
"(8, 29)",1,0,0,1
"(9, 29)",0,0,1,1
"(10, 29)",0,0,1,1
"(11, 29)",1,0,1,0
"(12, 29)",1,0,0,1
"(13, 29)",0,0,1,0
"(14, 29)",0,1,0,1
"(15, 29)",0,0,1,1
"(16, 29)",0,1,1,0
"(17, 29)",1,1,0,0
"(18, 29)",1,0,0,1
"(19, 29)",0,1,1,0
"(20, 29)",0,1,0,0
"(21, 29)",1,0,0,1
"(22, 29)",0,1,1,0
"(23, 29)",0,1,0,1
"(24, 29)",0,1,1,0
"(25, 29)",0,1,0,1
"(26, 29)",0,1,1,1
"(27, 29)",0,1,1,0
"(28, 29)",0,1,0,1
"(29, 29)",0,0,1,1
"(30, 29)",0,0,1,1
"(31, 29)",1,0,1,1
"(32, 29)",0,0,1,1
"(33, 29)",0,0,1,1
"(34, 29)",0,0,1,1
"(35, 29)",0,1,1,0
"(36, 29)",1,0,0,1
"(37, 29)",0,0,1,1
"(38, 29)",0,0,1,1
"(39, 29)",0,1,1,0
"(40, 29)",1,1,0,1
"(41, 29)",0,0,1,1
"(42, 29)",0,1,1,0
"(43, 29)",0,1,0,1
"(44, 29)",1,0,1,0
"(45, 29)",1,1,0,0
"(46, 29)",0,1,0,0
"(47, 29)",1,1,0,0
"(48, 29)",0,1,0,1
"(49, 29)",1,0,1,1
"(50, 29)",0,1,1,0
"(51, 29)",1,0,0,1
"(52, 29)",0,0,1,1
"(53, 29)",0,1,1,0
"(54, 29)",1,0,0,0
"(55, 29)",0,1,0,1
"(56, 29)",1,0,1,0
"(57, 29)",1,0,0,1
"(58, 29)",1,0,1,1
"(59, 29)",0,1,1,0
"(60, 29)",1,0,0,1
"(61, 29)",1,0,1,0
"(62, 29)",0,1,0,1
"(63, 29)",0,1,1,0
"(64, 29)",1,0,0,1
"(65, 29)",1,0,1,0
"(66, 29)",0,1,0,1
"(67, 29)",0,0,1,1
"(68, 29)",0,0,1,1
"(69, 29)",1,0,1,0
"(70, 29)",1,0,0,0
"(71, 29)",0,1,0,1
"(72, 29)",0,0,1,1
"(73, 29)",1,0,1,0
"(74, 29)",1,1,0,0
"(75, 29)",0,1,0,0
"(76, 29)",1,1,0,1
"(77, 29)",1,0,1,0
"(78, 29)",1,1,0,0
"(79, 29)",1,0,0,1
"(80, 29)",0,0,1,1
"(81, 29)",1,0,1,1
"(82, 29)",1,0,1,0
"(83, 29)",0,1,0,0
"(84, 29)",0,1,0,1
"(85, 29)",0,1,1,0
"(86, 29)",1,1,0,0
"(87, 29)",1,0,0,1
"(88, 29)",0,1,1,0
"(89, 29)",0,1,0,1
"(90, 29)",0,0,1,1
"(91, 29)",1,0,1,1
"(92, 29)",0,1,1,0
"(93, 29)",0,1,0,0
"(94, 29)",1,0,0,1
"(95, 29)",0,0,1,1
"(96, 29)",0,1,1,0
"(97, 29)",1,0,0,1
"(98, 29)",0,0,1,1
"(99, 29)",0,1,1,1
"(100, 29)",0,0,1,0
"(101, 29)",1,1,0,0
"(102, 29)",0,0,0,1
"(103, 29)",0,1,1,1
"(104, 29)",0,1,1,0
"(105, 29)",1,0,0,1
"(106, 29)",0,1,1,0
"(107, 29)",1,1,0,0
"(108, 29)",0,1,0,0
"(109, 29)",0,1,0,1
"(110, 29)",0,0,1,1
"(111, 29)",1,0,1,0
"(112, 29)",0,1,0,1
"(113, 29)",1,0,1,0
"(114, 29)",1,0,0,0
"(115, 29)",1,1,0,0
"(116, 29)",1,1,0,1
"(117, 29)",1,1,1,0
"(118, 29)",1,1,0,0
"(119, 29)",1,0,0,1
"(120, 29)",0,1,1,0
"(121, 29)",0,1,0,1
"(122, 29)",0,0,1,1
"(123, 29)",1,0,1,0
"(124, 29)",1,0,0,0
"(125, 29)",1,1,0,0
"(126, 29)",0,1,0,1
"(127, 29)",1,0,1,1
"(128, 29)",0,0,1,1
"(129, 29)",0,0,1,1
"(130, 29)",1,0,1,0
"(131, 29)",0,1,0,1
"(132, 29)",0,0,1,1
"(133, 29)",1,0,1,0
"(134, 29)",0,1,0,1
"(135, 29)",0,0,1,0
"(136, 29)",1,1,0,0
"(137, 29)",0,1,0,1
"(138, 29)",1,0,1,0
"(139, 29)",1,0,0,0
"(140, 29)",0,1,0,1
"(141, 29)",0,1,1,0
"(142, 29)",0,1,0,1
"(143, 29)",0,0,1,1
"(144, 29)",0,1,1,0
"(145, 29)",1,1,0,0
"(146, 29)",1,0,0,1
"(147, 29)",0,1,1,0
"(148, 29)",1,0,0,1
"(149, 29)",0,1,1,0
"(150, 29)",1,0,0,1
"(151, 29)",0,0,1,0
"(152, 29)",1,1,0,0
"(153, 29)",1,1,0,0
"(154, 29)",0,1,0,1
"(155, 29)",0,0,1,1
"(156, 29)",1,1,1,0
"(157, 29)",0,1,0,1
"(158, 29)",1,1,1,0
"(159, 29)",0,1,0,1
"(160, 29)",0,0,1,1
"(161, 29)",1,0,1,0
"(162, 29)",0,1,0,1
"(163, 29)",1,0,1,0
"(164, 29)",1,1,0,0
"(165, 29)",1,0,0,1
"(166, 29)",0,1,1,0
"(167, 29)",1,1,0,0
"(168, 29)",1,1,0,0
"(169, 29)",1,1,0,0
"(170, 29)",1,0,0,1
"(171, 29)",0,1,1,0
"(172, 29)",0,1,0,1
"(173, 29)",1,0,1,0
"(174, 29)",0,1,0,1
"(175, 29)",0,0,1,1
"(176, 29)",0,1,1,0
"(177, 29)",1,0,0,1
"(178, 29)",1,0,1,0
"(179, 29)",1,1,0,0
"(180, 29)",1,1,0,0
"(181, 29)",1,0,0,1
"(182, 29)",0,0,1,1
"(183, 29)",1,0,1,0
"(184, 29)",1,1,0,0
"(185, 29)",1,0,0,0
"(186, 29)",1,1,0,0
"(187, 29)",1,0,0,0
"(188, 29)",1,1,0,1
"(189, 29)",0,1,1,0
"(190, 29)",1,0,0,0
"(191, 29)",1,0,0,1
"(192, 29)",0,0,1,1
"(193, 29)",1,0,1,0
"(194, 29)",0,0,0,1
"(195, 29)",1,0,1,1
"(196, 29)",1,0,1,0
"(197, 29)",1,0,0,0
"(198, 29)",1,0,0,1
"(199, 29)",0,1,1,0
"(200, 29)",1,0,0,1
"(201, 29)",0,1,1,0
"(202, 29)",1,1,0,0
"(203, 29)",1,0,0,1
"(204, 29)",0,1,1,0
"(205, 29)",1,1,0,1
"(206, 29)",0,0,1,1
"(207, 29)",0,1,1,0
"(208, 29)",1,0,0,0
"(209, 29)",1,0,0,1
"(210, 29)",1,0,1,1
"(211, 29)",0,1,1,0
"(212, 29)",1,0,0,1
"(213, 29)",0,1,1,0
"(214, 29)",1,0,0,1
"(215, 29)",0,0,1,1
"(216, 29)",1,0,1,0
"(217, 29)",1,1,0,0
"(218, 29)",1,1,0,1
"(219, 29)",0,0,1,1
"(220, 29)",0,0,1,0
"(221, 29)",1,1,0,0
"(222, 29)",1,1,0,0
"(223, 29)",1,0,0,0
"(224, 29)",1,1,0,0
"(225, 29)",1,1,0,1
"(226, 29)",0,0,1,0
"(227, 29)",1,1,0,0
"(228, 29)",1,1,0,0
"(229, 29)",1,0,0,1
"(230, 29)",0,0,1,1
"(231, 29)",0,0,1,1
"(232, 29)",0,1,1,0
"(233, 29)",0,1,0,1
"(234, 29)",1,0,1,0
"(235, 29)",0,1,0,1
"(236, 29)",1,0,1,0
"(237, 29)",1,1,0,0
"(238, 29)",1,1,0,0
"(239, 29)",0,1,0,1
"(240, 29)",0,1,1,1
"(241, 29)",0,0,1,1
"(242, 29)",0,1,1,0
"(243, 29)",1,0,0,1
"(244, 29)",1,0,1,0
"(245, 29)",1,0,0,1
"(246, 29)",0,1,1,0
"(247, 29)",1,0,0,1
"(248, 29)",0,1,1,0
"(249, 29)",1,0,0,0
"(250, 29)",1,1,0,0
"(251, 29)",0,0,0,1
"(252, 29)",1,1,1,0
"(253, 29)",1,1,0,0
"(254, 29)",1,1,0,0
"(255, 29)",1,1,0,1
"(256, 29)",0,1,1,0
"(257, 29)",0,1,0,1
"(258, 29)",1,0,1,1
"(259, 29)",0,0,1,0
"(260, 29)",0,1,0,1
"(261, 29)",0,1,1,0
"(262, 29)",1,0,0,1
"(263, 29)",1,0,1,0
"(264, 29)",1,1,0,0
"(265, 29)",0,1,0,1
"(266, 29)",1,0,1,0
"(267, 29)",0,0,0,1
"(268, 29)",0,1,1,1
"(269, 29)",0,0,1,0
"(270, 29)",0,1,0,1
"(271, 29)",0,0,1,1
"(272, 29)",0,1,1,0
"(273, 29)",1,1,0,0
"(274, 29)",1,1,0,0
"(275, 29)",0,0,0,1
"(276, 29)",0,1,1,1
"(277, 29)",1,0,1,0
"(278, 29)",1,1,0,0
"(279, 29)",1,0,0,1
"(280, 29)",0,0,1,1
"(281, 29)",0,1,1,0
"(282, 29)",0,1,0,1
"(283, 29)",1,0,1,0
"(284, 29)",1,1,0,0
"(285, 29)",1,0,0,1
"(286, 29)",0,1,1,0
"(287, 29)",0,1,0,0
"(288, 29)",0,1,0,1
"(289, 29)",0,1,1,1
"(290, 29)",1,0,1,0
"(291, 29)",1,1,0,0
"(292, 29)",1,1,0,1
"(293, 29)",0,0,1,1
"(294, 29)",1,0,1,0
"(295, 29)",1,0,0,1
"(296, 29)",1,0,1,0
"(297, 29)",0,1,0,1
"(298, 29)",1,1,1,0
"(299, 29)",1,0,0,1
"(300, 29)",0,0,1,1
"(301, 29)",0,0,1,1
"(302, 29)",0,1,1,0
"(303, 29)",1,0,0,0
"(304, 29)",1,1,0,1
"(305, 29)",0,0,1,0
"(306, 29)",1,1,0,0
"(307, 29)",1,1,0,0
"(308, 29)",1,1,0,0
"(309, 29)",1,1,0,0
"(310, 29)",0,1,0,1
"(311, 29)",1,0,1,0
"(312, 29)",0,1,0,1
"(313, 29)",0,0,1,1
"(314, 29)",1,1,1,0
"(315, 29)",0,1,0,0
"(316, 29)",1,1,0,0
"(317, 29)",1,1,0,0
"(318, 29)",1,1,0,1
"(319, 29)",0,0,1,1
"(320, 29)",0,1,1,1
"(321, 29)",0,0,1,1
"(322, 29)",0,0,1,0
"(323, 29)",1,1,0,1
"(324, 29)",1,0,1,0
"(325, 29)",0,1,0,1
"(326, 29)",0,1,1,0
"(327, 29)",0,1,0,1
"(328, 29)",1,0,1,0
"(329, 29)",1,1,0,0
"(330, 29)",0,0,0,1
"(331, 29)",0,1,1,1
"(332, 29)",1,1,1,0
"(333, 29)",1,0,0,1
"(334, 29)",0,0,1,0
"(335, 29)",1,0,0,1
"(336, 29)",1,1,1,0
"(337, 29)",1,1,0,0
"(338, 29)",0,1,0,1
"(339, 29)",0,0,1,1
"(340, 29)",0,0,1,1
"(341, 29)",0,1,1,0
"(342, 29)",0,1,0,1
"(343, 29)",0,0,1,1
"(344, 29)",0,1,1,0
"(345, 29)",1,0,0,1
"(346, 29)",1,0,1,1
"(347, 29)",0,1,1,0
"(348, 29)",0,1,0,1
"(349, 29)",1,1,1,0
"(350, 29)",1,1,0,0
"(351, 29)",1,1,0,0
"(352, 29)",1,1,0,0
"(353, 29)",1,0,0,1
"(354, 29)",0,1,1,0
"(355, 29)",1,1,0,0
"(356, 29)",0,1,0,1
"(357, 29)",1,0,1,0
"(358, 29)",1,1,0,0
"(359, 29)",1,1,0,0
"(360, 29)",1,0,0,1
"(361, 29)",0,1,1,0
"(362, 29)",1,0,0,1
"(363, 29)",1,0,1,0
"(364, 29)",0,1,0,1
"(365, 29)",1,0,1,0
"(366, 29)",1,0,0,1
"(367, 29)",0,0,1,1
"(368, 29)",0,0,1,1
"(369, 29)",0,0,1,1
"(370, 29)",1,0,1,0
"(371, 29)",1,1,0,0
"(372, 29)",0,0,0,1
"(373, 29)",1,1,1,0
"(374, 29)",1,1,0,0
"(375, 29)",1,0,0,1
"(376, 29)",0,0,1,1
"(377, 29)",0,1,1,0
"(378, 29)",1,0,0,1
"(379, 29)",1,0,1,0
"(380, 29)",1,0,0,0
"(381, 29)",1,0,0,1
"(382, 29)",0,1,1,0
"(383, 29)",0,0,0,1
"(384, 29)",0,0,1,1
"(385, 29)",1,0,1,1
"(386, 29)",0,0,1,0
"(387, 29)",1,1,0,0
"(388, 29)",1,0,0,1
"(389, 29)",0,1,1,0
"(390, 29)",1,1,0,0
"(391, 29)",1,0,0,1
"(392, 29)",1,0,1,0
"(393, 29)",0,1,0,0
"(394, 29)",1,0,0,1
"(395, 29)",0,0,1,1
"(396, 29)",0,0,1,1
"(397, 29)",0,1,1,0
"(398, 29)",1,1,0,0
"(399, 29)",1,0,0,0
"(400, 29)",1,1,0,0
"(1, 30)",1,0,0,1
"(2, 30)",0,1,1,0
"(3, 30)",1,1,0,0
"(4, 30)",0,0,0,1
"(5, 30)",0,1,1,0
"(6, 30)",0,1,0,1
"(7, 30)",1,0,1,1
"(8, 30)",0,1,1,0
"(9, 30)",1,0,0,1
"(10, 30)",0,0,1,1
"(11, 30)",0,1,1,0
"(12, 30)",1,1,0,1
"(13, 30)",1,0,1,1
"(14, 30)",0,0,1,1
"(15, 30)",0,0,1,1
"(16, 30)",1,0,1,0
"(17, 30)",1,1,0,0
"(18, 30)",0,1,0,1
"(19, 30)",1,0,1,1
"(20, 30)",0,0,1,1
"(21, 30)",0,1,1,1
"(22, 30)",0,0,1,0
"(23, 30)",1,0,0,1
"(24, 30)",0,0,1,1
"(25, 30)",0,0,1,1
"(26, 30)",1,0,1,0
"(27, 30)",1,0,0,1
"(28, 30)",0,0,1,1
"(29, 30)",0,0,1,1
"(30, 30)",1,0,1,0
"(31, 30)",1,1,0,1
"(32, 30)",0,0,1,1
"(33, 30)",0,0,1,0
"(34, 30)",1,0,0,1
"(35, 30)",1,0,1,0
"(36, 30)",1,1,0,0
"(37, 30)",1,0,0,1
"(38, 30)",1,0,1,0
"(39, 30)",1,0,0,1
"(40, 30)",0,1,1,0
"(41, 30)",1,0,0,1
"(42, 30)",0,0,1,1
"(43, 30)",0,0,1,1
"(44, 30)",1,1,1,0
"(45, 30)",0,1,0,1
"(46, 30)",0,0,1,1
"(47, 30)",0,1,1,0
"(48, 30)",0,0,0,1
"(49, 30)",0,1,1,0
"(50, 30)",1,0,0,1
"(51, 30)",0,1,1,0
"(52, 30)",1,0,0,1
"(53, 30)",0,0,1,1
"(54, 30)",1,1,1,0
"(55, 30)",1,0,0,1
"(56, 30)",0,1,1,0
"(57, 30)",1,1,0,0
"(58, 30)",1,1,0,0
"(59, 30)",1,0,0,1
"(60, 30)",0,1,1,0
"(61, 30)",0,1,0,1
"(62, 30)",1,0,1,1
"(63, 30)",0,0,1,1
"(64, 30)",0,1,1,0
"(65, 30)",1,1,0,0
"(66, 30)",1,0,0,1
"(67, 30)",1,0,1,0
"(68, 30)",1,0,0,1
"(69, 30)",0,1,1,1
"(70, 30)",0,1,1,0
"(71, 30)",1,0,0,1
"(72, 30)",0,0,1,1
"(73, 30)",0,1,1,0
"(74, 30)",1,1,0,1
"(75, 30)",1,0,1,0
"(76, 30)",1,1,0,0
"(77, 30)",1,1,0,0
"(78, 30)",0,1,0,0
"(79, 30)",1,1,0,0
"(80, 30)",1,0,0,0
"(81, 30)",1,1,0,0
"(82, 30)",0,1,0,1
"(83, 30)",0,0,1,1
"(84, 30)",1,0,1,0
"(85, 30)",1,0,0,1
"(86, 30)",0,1,1,0
"(87, 30)",0,1,0,1
"(88, 30)",1,0,1,0
"(89, 30)",0,0,0,1
"(90, 30)",0,0,1,1
"(91, 30)",0,1,1,0
"(92, 30)",1,0,0,1
"(93, 30)",0,0,1,1
"(94, 30)",0,1,1,0
"(95, 30)",0,0,0,1
"(96, 30)",0,0,1,1
"(97, 30)",0,1,1,1
"(98, 30)",1,0,1,1
"(99, 30)",0,0,1,1
"(100, 30)",1,0,1,0
"(101, 30)",0,1,0,1
"(102, 30)",1,0,1,0
"(103, 30)",1,0,0,0
"(104, 30)",1,0,0,1
"(105, 30)",0,1,1,1
"(106, 30)",0,0,1,0
